teamnameA,teamnameB,punkteA,punkteB,modus
Frühwarnung United,WMGOCPATMHDLSA FC - 2,0,0,G
Bracelona Kampfmannschaft,Emirs Dönerbude,0,0,G
FC Antibvb,Falken United,0,0,G
Antikicker,FC Edeltechniker,0,0,G
1CHIT,FC 3.Hoibzeit,0,0,G
WMGOCPATMHDLSA FC - 1,WMGOCPATMHDLSA FC - 3,0,0,G
Junglehrerinnen und Junglehrer,If Schleifen United,0,0,G
SK Lation,Fc Haramball,0,0,G
Pink Panther's,Bracelona U23,0,0,G
WMGOCPATMHDLSA FC - 2,Emirs Dönerbude,0,0,G
Frühwarnung United,Bracelona Kampfmannschaft,0,0,G
Falken United,FC Edeltechniker,0,0,G
SV Marantana,Fc Holzfuß,0,0,G
FC Antibvb,Antikicker,0,0,G
Fc Holzfuß,FC 3.Hoibzeit,0,0,G
SV Marantana,1CHIT,0,0,G
If Schleifen United,WMGOCPATMHDLSA FC - 3,0,0,G
Junglehrerinnen und Junglehrer,WMGOCPATMHDLSA FC - 1,0,0,G
Fc Haramball,Pink Panther's,0,0,G
SK Lation,Bracelona U23,0,0,G
Frühwarnung United,Emirs Dönerbude,0,0,G
Bracelona Kampfmannschaft,WMGOCPATMHDLSA FC - 2,0,0,G
Antikicker,Falken United,0,0,G
FC Edeltechniker,FC Antibvb,0,0,G
SV Marantana,FC 3.Hoibzeit,0,0,G
Fc Holzfuß,1CHIT,0,0,G
Junglehrerinnen und Junglehrer,WMGOCPATMHDLSA FC - 3,0,0,G
If Schleifen United,WMGOCPATMHDLSA FC - 1,0,0,G
Bracelona U23,Fc Haramball,0,0,G
Pink Panther's,SK Lation,0,0,G
