teamname,gruppe,punkte,organisation,qualified
Fc Haramball,E,0,HAK,Q
Pink Panther's,E,0,Mädchenmannschaft,
Bracelona U23,E,0,HTL,
SK Lation,E,0,HAK,
Frühwarnung United,A,0,HAK,
Emirs Dönerbude,A,0,HAK,
Bracelona Kampfmannschaft,A,0,HTL,
WMGOCPATMHDLSA FC - 2,A,0,HTL,NQ
Falken United,B,0,HTL,
Antikicker,B,0,HAK,
FC Antibvb,B,0,HAK,
FC Edeltechniker,B,0,HAK,
SV Marantana,C,0,HAK,
1CHIT,C,0,HTL,
Fc Holzfuß,C,0,HAK,
FC 3.Hoibzeit,C,0,HAK,
WMGOCPATMHDLSA FC - 3,D,0,HTL,
If Schleifen United,D,0,HTL,
WMGOCPATMHDLSA FC - 1,D,0,HTL,
Junglehrerinnen und Junglehrer,D,0,Lehrer,
